r_gen,gen_func,fit_func,mean,pull_median,pull_mean,fail_rate
0.0,0,0,0.28803428453641033,0.017803837953091737,-0.3029377348693859,0.0279
0.0,1,0,0.3392414989380265,0.0919979349509551,-0.2010659689420611,0.0105
0.0,0,1,-0.1876037339925612,-0.545101842870999,-0.7804290421888044,0.04
0.0,1,1,0.26397309131740393,-0.018494271685760844,-0.33032932890272304,0.0151
1.0,0,0,0.21805520264275718,-0.01056661562021427,-0.21324854047505937,0.0016
1.0,1,0,0.39060227957104915,0.07269482450922067,-0.12279403575721382,0.0006
1.0,0,1,-0.21594290085881995,-0.4420208500400961,-0.6144375407482601,0.0031
1.0,1,1,0.3332219878608386,-0.030756972111553593,-0.2401672922395532,0.0016
3.0,0,0,0.18558714718254415,-0.0027123483226265677,-0.1492049435530511,0.0
3.0,1,0,0.21683774005757134,0.03509971509971514,-0.10584146215613376,0.0
3.0,0,1,-0.21372621762987348,-0.34192200557103053,-0.4758918341423971,0.0001
3.0,1,1,0.1672114297351579,-0.05028735632183884,-0.19721165223556883,0.0
10.0,0,0,0.08619247967019311,0.010477299185098977,-0.09231024732326219,0.0
10.0,1,0,0.1371098218302303,0.057457922228670924,-0.058329290545172476,0.0
10.0,0,1,-0.14572052021027027,-0.21286307053941894,-0.3029912053469476,0.0
10.0,1,1,0.08455513414991091,-0.0082815734989648,-0.11600931404320752,0.0
