r_gen,gen_func,fit_func,mean,pull_median,pull_mean,fail_rate
0.0,0,0,0.32241901761562725,-0.06445182724252485,-0.3027035152664183,0.0117
0.0,1,0,0.26370471137972545,0.03076923076923081,-0.2078907134799674,0.0049
0.0,0,1,0.11018814963218794,-0.2940523394131641,-0.5076258811735177,0.0107
0.0,1,1,0.21327392832837633,-0.06516679596586483,-0.2951941802747399,0.005
1.2,0,0,0.20918897382579346,-0.02766439909297036,-0.22990912268248723,0.0003
1.2,1,0,0.24530662203102296,0.040854010386612814,-0.14399674412288813,0.0001
1.2,0,1,0.01389274093940127,-0.21157742402315474,-0.4005598922892236,0.0004
1.2,1,1,0.20492977333233206,-0.02120765832106042,-0.21011332216002399,0.0001
3.6,0,0,0.18668473969678825,-0.02214182344428356,-0.16966613598080063,0.0
3.6,1,0,0.2175670439481291,0.043713956170703595,-0.09635638383742405,0.0
3.6,0,1,-0.000249481510463137,-0.16697247706422022,-0.2992601291282861,0.0
3.6,1,1,0.1783074172842529,-0.011228070175438531,-0.14733366658461455,0.0
12.0,0,0,0.08684640913019548,0.008185053380782938,-0.08705897497248666,0.0001
12.0,1,0,0.1119799436511177,0.038100961538461535,-0.06654180789743147,0.0
12.0,0,1,0.020579571107494296,-0.08112175102599167,-0.16967481498238182,0.0001
12.0,1,1,0.08447734118080012,0.005134328358208963,-0.09983051452188103,0.0
